ICAO;Operador Aéreo;Etapa;Voo;Equip;Assentos;Origem;Aeroporto Origem;Início;Partida Prevista;Chegada Prevista;dt_referencia;nr_voo;nr_etapa;Tipo;Destino;Aeroporto Destino;tx_codeshare
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2916;E195;118;SBCT;AFONSO PENA - SÃO JOSÉ DOS PINHAIS - PR - BRASIL;30/01/2022;30/01/2022 15:30;30/01/2022 16:35;30/01/2022 00:00:00;2916;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2921;A20N;174;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 13:00;30/01/2022 14:45;30/01/2022 00:00:00;2921;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBPA;SALGADO FILHO - PORTO ALEGRE - RS - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2923;A332;271;SBRF;GUARARAPES - GILBERTO FREYRE - RECIFE - PE - BRASIL;30/01/2022;30/01/2022 18:00;30/01/2022 21:15;30/01/2022 00:00:00;2923;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;TAP/5293
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2942;E295;136;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 23:55;31/01/2022 02:10;30/01/2022 00:00:00;2942;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBPJ;BRIGADEIRO LYSIAS RODRIGUES - PALMAS - TO - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2943;A332;271;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 11:20;30/01/2022 15:10;30/01/2022 00:00:00;2943;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2944;E195;118;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 17:45;30/01/2022 18:50;30/01/2022 00:00:00;2944;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBRJ;SANTOS DUMONT - RIO DE JANEIRO - RJ - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2953;A20N;174;SBTE;SENADOR PETRÔNIO PORTELLA - TERESINA - PI - BRASIL;30/01/2022;30/01/2022 03:30;30/01/2022 06:35;30/01/2022 00:00:00;2953;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2954;A20N;174;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 21:50;31/01/2022 01:20;30/01/2022 00:00:00;2954;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO - BELÉM - PA - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2955;E295;136;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 08:40;30/01/2022 10:15;30/01/2022 00:00:00;2955;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBFI;CATARATAS - FOZ DO IGUAÇU - PR - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2961;AT76;70;SBLO;GOVERNADOR JOSÉ RICHA - LONDRINA - PR - BRASIL;30/01/2022;30/01/2022 05:20;30/01/2022 06:40;30/01/2022 00:00:00;2961;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2971;AT76;70;SWLC;GENERAL LEITE DE CASTRO - RIO VERDE - GO - BRASIL;30/01/2022;30/01/2022 10:55;30/01/2022 12:50;30/01/2022 00:00:00;2971;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2977;E295;136;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 16:15;30/01/2022 17:50;30/01/2022 00:00:00;2977;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK - BRASÍLIA - DF - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2991;A21N;214;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 14:00;30/01/2022 16:20;30/01/2022 00:00:00;2991;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES - SALVADOR - BA - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2995;AT76;70;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 17:15;30/01/2022 18:40;30/01/2022 00:00:00;2995;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBJV;LAURO CARNEIRO DE LOYOLA - JOINVILLE - SC - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;4010;A20N;174;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 09:00;30/01/2022 10:55;30/01/2022 00:00:00;4010;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBIL;BAHIA - JORGE AMADO - ILHÉUS - BA - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;4011;A20N;174;SBIL;BAHIA - JORGE AMADO - ILHÉUS - BA - BRASIL;30/01/2022;30/01/2022 11:45;30/01/2022 13:50;30/01/2022 00:00:00;4011;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;4013;A332;271;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;30/01/2022;30/01/2022 16:40;30/01/2022 20:20;30/01/2022 00:00:00;4013;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;4020;E195;118;SBCT;AFONSO PENA - SÃO JOSÉ DOS PINHAIS - PR - BRASIL;30/01/2022;30/01/2022 19:45;30/01/2022 20:45;30/01/2022 00:00:00;4020;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;4026;A20N;174;SBPA;SALGADO FILHO - PORTO ALEGRE - RS - BRASIL;30/01/2022;30/01/2022 05:30;30/01/2022 07:10;30/01/2022 00:00:00;4026;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;CMP/7126, CMP/7126, TAP/5235
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;4031;A21N;214;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 09:00;30/01/2022 11:50;30/01/2022 00:00:00;4031;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBMO;ZUMBI DOS PALMARES - RIO LARGO - AL - BRASIL;
